zaman_unix,icao24,enlem,boylam,hiz,yon,dikey_hiz,geo_irtifa_m,baro_irtifa_m,zaman,ucus_numarasi,kalkis_havaalani,varis_havaalani,basinc_hpa,ti1_indeksi,edr_proxy
1547567968,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:28+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567969,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:29+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567970,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:30+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567971,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:31+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567972,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:32+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567973,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:33+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567974,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:34+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567975,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:35+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567976,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:36+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567977,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:37+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567978,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:38+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
